BP,VMP,ORIGINAL
1.0,1.0,0.9990234375
1.0,1.0,0.9990234375
1.0,1.0,0.98046875
1.0,0.9990234375,0.9990234375
1.0,1.0,1.0
0.9990234375,0.9990234375,0.9873046875
1.0,1.0,0.99609375
1.0,0.9990234375,0.630859375
0.9990234375,0.9990234375,0.9404296875
1.0,1.0,0.9296875
1.0,1.0,0.9931640625
1.0,1.0,0.994140625
1.0,1.0,0.828125
1.0,1.0,1.0
1.0,1.0,0.8525390625
1.0,1.0,0.7255859375
1.0,1.0,0.9521484375
1.0,1.0,1.0
1.0,1.0,0.82421875
1.0,1.0,0.994140625
1.0,1.0,0.919921875
1.0,0.9990234375,0.9892578125
1.0,0.9990234375,0.978515625
0.99609375,1.0,0.9384765625
0.998046875,0.998046875,0.7783203125
1.0,0.9990234375,1.0
1.0,1.0,1.0
0.9990234375,0.998046875,0.974609375
0.9990234375,1.0,0.9365234375
1.0,1.0,0.9560546875
1.0,1.0,0.9658203125
0.9990234375,0.9990234375,0.9853515625
1.0,1.0,0.77734375
1.0,1.0,0.9755859375
1.0,1.0,0.8701171875
0.998046875,0.9970703125,0.7666015625
1.0,1.0,0.9990234375
1.0,1.0,0.8798828125
0.9990234375,0.9990234375,0.8876953125
0.9990234375,1.0,0.9609375
1.0,1.0,0.859375
1.0,1.0,0.9921875
1.0,1.0,0.9619140625
1.0,1.0,0.9873046875
1.0,1.0,0.833984375
1.0,0.998046875,0.994140625
1.0,0.9970703125,0.9970703125
0.9970703125,0.9970703125,0.9970703125
1.0,1.0,0.92578125
1.0,1.0,0.9990234375
1.0,1.0,0.9951171875
1.0,1.0,0.515625
1.0,1.0,0.9775390625
1.0,1.0,0.9775390625
0.998046875,1.0,0.9931640625
1.0,1.0,0.97265625
1.0,1.0,0.9443359375
1.0,1.0,0.90234375
1.0,1.0,0.87109375
1.0,1.0,0.9375
1.0,1.0,0.8876953125
1.0,1.0,0.826171875
1.0,1.0,0.99609375
1.0,1.0,0.8154296875
1.0,1.0,0.982421875
1.0,1.0,0.3916015625
1.0,1.0,0.9541015625
1.0,1.0,0.9765625
0.998046875,0.9990234375,0.7783203125
0.9990234375,0.998046875,0.994140625
1.0,0.9990234375,0.9912109375
1.0,1.0,0.7978515625
1.0,1.0,0.9873046875
1.0,1.0,0.8994140625
1.0,1.0,0.9716796875
1.0,1.0,0.97265625
1.0,1.0,0.9609375
1.0,1.0,0.998046875
1.0,1.0,0.9814453125
0.9970703125,0.9970703125,0.966796875
1.0,1.0,0.6083984375
0.9990234375,1.0,1.0
1.0,1.0,0.9990234375
1.0,0.9990234375,0.998046875
1.0,1.0,0.783203125
0.9951171875,0.9951171875,0.9111328125
1.0,0.9873046875,0.9931640625
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.9306640625
0.998046875,1.0,0.982421875
1.0,1.0,0.87109375
0.9990234375,1.0,0.9365234375
1.0,0.9970703125,0.9638671875
1.0,1.0,0.87109375
1.0,1.0,0.9990234375
0.9990234375,1.0,0.8095703125
1.0,1.0,0.9619140625
1.0,1.0,1.0
1.0,1.0,0.9990234375
0.998046875,1.0,0.87109375
0.9990234375,0.9990234375,0.9296875
1.0,1.0,0.9287109375
0.9990234375,0.9990234375,0.6220703125
0.9990234375,1.0,0.9521484375
1.0,1.0,0.9990234375
1.0,1.0,0.9384765625
1.0,1.0,0.8837890625
1.0,1.0,1.0
0.998046875,1.0,0.994140625
1.0,1.0,0.9931640625
0.9990234375,1.0,0.8701171875
1.0,1.0,0.875
1.0,1.0,0.95703125
1.0,1.0,0.87890625
0.9931640625,0.998046875,0.9775390625
1.0,1.0,0.267578125
1.0,1.0,0.615234375
1.0,1.0,0.994140625
1.0,0.9990234375,0.822265625
1.0,1.0,0.6142578125
1.0,1.0,0.927734375
1.0,0.9990234375,0.837890625
0.9990234375,0.9990234375,0.9052734375
1.0,0.998046875,0.9404296875
1.0,1.0,0.7080078125
1.0,1.0,0.7568359375
0.9990234375,0.9990234375,0.904296875
0.9990234375,0.9990234375,0.9140625
1.0,1.0,0.890625
1.0,0.998046875,0.626953125
1.0,1.0,0.8232421875
1.0,1.0,0.88671875
1.0,1.0,0.93359375
1.0,1.0,0.9853515625
1.0,1.0,0.947265625
1.0,0.998046875,0.650390625
0.998046875,0.9951171875,0.99609375
0.9990234375,0.9990234375,0.998046875
1.0,1.0,0.99609375
1.0,1.0,0.986328125
1.0,1.0,0.982421875
0.9970703125,0.9970703125,0.970703125
1.0,0.998046875,1.0
1.0,1.0,0.94921875
1.0,0.9990234375,0.9345703125
1.0,1.0,0.9638671875
1.0,1.0,0.7734375
0.998046875,1.0,0.8154296875
1.0,0.9990234375,0.990234375
1.0,0.9970703125,0.86328125
0.9990234375,0.9990234375,0.9990234375
1.0,1.0,0.998046875
0.998046875,1.0,0.8984375
1.0,1.0,0.9794921875
1.0,0.998046875,0.8740234375
0.9990234375,1.0,0.986328125
1.0,1.0,0.9423828125
1.0,1.0,0.9912109375
0.9990234375,1.0,1.0
0.9990234375,1.0,0.9951171875
1.0,1.0,0.9794921875
1.0,1.0,0.966796875
1.0,0.9970703125,0.732421875
1.0,1.0,0.7177734375
1.0,1.0,0.998046875
1.0,0.9990234375,0.9970703125
0.9990234375,1.0,0.900390625
0.9970703125,0.9951171875,0.9482421875
0.9990234375,1.0,0.9970703125
1.0,1.0,0.8369140625
0.9990234375,1.0,0.9775390625
0.9990234375,0.9990234375,0.998046875
1.0,1.0,0.974609375
0.9970703125,1.0,0.9052734375
1.0,1.0,0.9990234375
1.0,0.9990234375,0.958984375
0.998046875,0.998046875,0.9365234375
0.9990234375,1.0,0.984375
0.9990234375,1.0,0.9853515625
1.0,0.9990234375,0.9443359375
1.0,0.998046875,0.9482421875
1.0,0.9990234375,1.0
1.0,1.0,0.791015625
1.0,0.9990234375,1.0
1.0,1.0,0.9755859375
1.0,1.0,1.0
1.0,1.0,0.9931640625
1.0,1.0,0.982421875
0.9970703125,1.0,0.984375
1.0,1.0,0.98046875
1.0,1.0,1.0
1.0,0.9990234375,0.9716796875
0.998046875,1.0,0.9970703125
1.0,1.0,0.9873046875
0.9990234375,1.0,0.8466796875
1.0,1.0,0.970703125
1.0,1.0,0.9609375
0.9990234375,1.0,0.8623046875
1.0,1.0,0.9716796875
1.0,1.0,0.982421875
0.9990234375,1.0,0.6875
1.0,1.0,0.9970703125
1.0,0.9990234375,0.9931640625
1.0,1.0,0.6220703125
0.9990234375,1.0,0.9375
1.0,1.0,0.994140625
0.9990234375,0.9990234375,1.0
1.0,1.0,0.8291015625
1.0,1.0,1.0
1.0,1.0,0.810546875
1.0,1.0,0.986328125
1.0,1.0,1.0
1.0,1.0,0.8935546875
1.0,1.0,1.0
1.0,1.0,0.9658203125
0.998046875,1.0,0.9775390625
1.0,1.0,0.962890625
1.0,1.0,1.0
1.0,1.0,0.921875
1.0,1.0,0.94921875
1.0,1.0,0.9990234375
1.0,1.0,0.92578125
1.0,1.0,0.65234375
0.998046875,1.0,0.796875
1.0,1.0,0.99609375
1.0,1.0,0.9501953125
1.0,0.998046875,0.9853515625
1.0,0.998046875,0.994140625
0.9990234375,1.0,0.943359375
1.0,1.0,0.9970703125
0.9990234375,0.9990234375,0.990234375
1.0,1.0,0.9873046875
1.0,1.0,0.9345703125
1.0,0.9990234375,0.966796875
1.0,1.0,0.982421875
1.0,1.0,0.9951171875
0.9990234375,1.0,0.98828125
1.0,1.0,0.984375
1.0,1.0,0.9970703125
1.0,1.0,0.9580078125
1.0,1.0,0.8662109375
1.0,1.0,1.0
1.0,1.0,0.994140625
1.0,1.0,0.9609375
1.0,1.0,1.0
1.0,1.0,0.884765625
0.9990234375,0.9990234375,0.9384765625
1.0,1.0,0.6279296875
1.0,1.0,0.541015625
1.0,1.0,0.9833984375
1.0,1.0,0.9931640625
0.9990234375,1.0,0.98828125
1.0,1.0,0.99609375
0.9990234375,0.998046875,0.9443359375
1.0,1.0,0.9541015625
1.0,1.0,0.7900390625
1.0,1.0,0.9482421875
1.0,1.0,0.9931640625
1.0,1.0,0.9404296875
0.9990234375,1.0,0.5947265625
1.0,1.0,0.9052734375
1.0,1.0,0.9892578125
1.0,1.0,0.8173828125
1.0,1.0,0.9921875
0.9990234375,0.9990234375,0.974609375
0.9990234375,1.0,0.998046875
1.0,1.0,1.0
1.0,1.0,0.9609375
1.0,1.0,0.8837890625
